"Part";"Value";"Device";"Package";"Description";"DESC";"DPN";"LINK";"MANUFACTURER";"MF";"MPN";"OC_MOUSER";"PACKAGE";"STANDARD";"TYPE";"VALUE";
"C1";"0.1UF";"0.1UF";"C_0805";"";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C2";"1UF";"1UF";"C_0805";"";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU  ";"";"";"";"";"";
"C3";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C5";"1UF";"1UF";"C_0805";"";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU  ";"";"";"";"";"";
"C7";"2.2UF";"2.2UF";"C_0805";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"1276-1066-1-ND";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"";"CL21B105KAFNNNE";"";"";"";"";"";
"C8";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C9";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C10";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C11";"22PF";"22PF";"C_0805";"";"";"732-7829-1-ND";"https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012007030/732-7829-1-ND/5454456";"";"";"885012007030";"";"";"";"";"";
"C12";"22PF";"22PF";"C_0805";"";"";"732-7829-1-ND";"https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012007030/732-7829-1-ND/5454456";"";"";"885012007030";"";"";"";"";"";
"C13";"2.2UF";"2.2UF";"C_0805";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"1276-1066-1-ND";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"";"CL21B105KAFNNNE";"";"";"";"";"";
"C14";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C26";"2.2UF";"2.2UF";"C_0805";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"1276-1066-1-ND";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"";"CL21B105KAFNNNE";"";"";"";"";"";
"C27";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C28";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C29";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C31";"1.0UF";"1.0UF";"C_0805";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"1276-1066-1-ND";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"";"CL21B105KAFNNNE";"";"";"";"";"";
"C32";"1.0UF";"1.0UF";"C_0805";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"1276-1066-1-ND";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"";"CL21B105KAFNNNE";"";"";"";"";"";
"C33";"2.2UF";"2.2UF";"C_0805";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"1276-1066-1-ND";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"";"CL21B105KAFNNNE";"";"";"";"";"";
"C34";"2.2UF";"2.2UF";"C_0805";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"1276-1066-1-ND";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"";"CL21B105KAFNNNE";"";"";"";"";"";
"C35";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C36";"0.15UF";"0.15UF";"C_0805";"https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012207073/732-7667-1-ND/5454294";"";"732-7667-1-ND";"https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012207073/732-7667-1-ND/5454294";"";"";"885012207073";"";"";"";"";"";
"D1";"1N4148WX-TP";"1N4148WX-TP";"SOD323";"";"";"1N4148WXTPMSCT-ND";"https://www.digikey.com/product-detail/en/micro-commercial-co/1N4148WX-TP/1N4148WXTPMSCT-ND/717312";"";"";"1N4148WX-TP";"";"";"";"";"";
"D5";"ORANGE";"LED_ORANGE0805";"CHIPLED_0805";"LED";"";"160-1434-1-ND";"https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C190KFKT/160-1434-1-ND/386812";"";"";"LTST-C190KFKT";"";"";"";"";"";
"D6";"AP7313";"AP7313";"SOT23-3";"https://www.digikey.com/product-detail/en/diodes-incorporated/AP7313-33SRG-7/AP7313-33SRG-7DICT-ND/2270841";"";"AP7313-33SRG-7DICT-ND";"https://www.digikey.com/product-detail/en/diodes-incorporated/AP7313-33SRG-7/AP7313-33SRG-7DICT-ND/2270841";"";"";"AP7313-33SRG-7";"";"";"";"";"";
"G3";"16MHz";"CRYSTAL-HC49US";"HC49US";"";"";"535-9041-ND";"https://www.digikey.com/product-detail/en/abracon-llc/ABL-16.000MHZ-B2/535-9041-ND/675236";"";"";"ABL-16.000MHZ-B2";"";"";"";"";"";
"G4";"32.768kHz";"CRYSTAL-TC26H";"TC26H";"";"32.768kHz / 12.5pF / 20ppm";"";"";"";"Citizen FineDevice";" CFS206-32.768KDZF-UB";"695-CFS206-327KF-U";"TC-26H";"";"Crystal";"32.768kHz";
"J1";"PJ-002A";"PJ-002A";"CUI_PJ-002A";"2.0 mm Center Pin, 2.5 A, Right Angle, Through Hole, Dc Power Jack Connector";"";"CP-002A-ND";"https://www.digikey.com/product-detail/en/cui-inc/PJ-002A/CP-002A-ND/96962";"CUI INC";"";"PJ-002A";"";"";"Manufacturer recommendations";"";"";
"J2";"";"USB_MICRO-B";"FCI_10103594-0001LF";"USB Type Micro-B Connector";"";"609-4050-1-ND";"https://www.digikey.com/product-detail/en/amphenol-icc-fci/10103594-0001LF/609-4050-1-ND/2350357";"";"";"10103594-0001LF";"";"";"";"";"";
