"Part";"Value";"Device";"Package";"Description";"DPN";"LINK";"MPN";"SPICEPREFIX";
"D1";"";"LED_RED0805";"CHIPLED_0805";"LED";"732-4978-1-ND";"https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060RS75000/732-4978-1-ND/4489899";"150060RS75000";"";
"J1";"30_PIN_CONNECTOR_MALE";"30_PIN_CONNECTOR_MALE";"MOLEX_30PINCONNECTOR_2MM";"";"";"";"";"X";
"R1";"75OHM";"75OHM";"0805";"";"RNCP0805FTD75R0CT-ND";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD75R0/RNCP0805FTD75R0CT-ND/2240546";"RNCP0805FTD75R0";"";
"R2";"75OHM";"75OHM";"0805";"";"RNCP0805FTD75R0CT-ND";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD75R0/RNCP0805FTD75R0CT-ND/2240546";"RNCP0805FTD75R0";"";
"R3";"75OHM";"75OHM";"0805";"";"RNCP0805FTD75R0CT-ND";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD75R0/RNCP0805FTD75R0CT-ND/2240546";"RNCP0805FTD75R0";"";
"R4";"75OHM";"75OHM";"0805";"";"RNCP0805FTD75R0CT-ND";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD75R0/RNCP0805FTD75R0CT-ND/2240546";"RNCP0805FTD75R0";"";
"R5";"75OHM";"75OHM";"0805";"";"RNCP0805FTD75R0CT-ND";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD75R0/RNCP0805FTD75R0CT-ND/2240546";"RNCP0805FTD75R0";"";
"U$1";"BOURNS_10K_POTENTIOMETER";"BOURNS_10K_POTENTIOMETER";"BOURNS_PTV09";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103-ND";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103  ";"";
"U$2";"BOURNS_10K_POTENTIOMETER";"BOURNS_10K_POTENTIOMETER";"BOURNS_PTV09";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103-ND";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103  ";"";
"U$3";"BOURNS_10K_POTENTIOMETER";"BOURNS_10K_POTENTIOMETER";"BOURNS_PTV09";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103-ND";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103  ";"";
"U$4";"BOURNS_10K_POTENTIOMETER";"BOURNS_10K_POTENTIOMETER";"BOURNS_PTV09";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103-ND";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103  ";"";
"U$5";"BOURNS_10K_POTENTIOMETER";"BOURNS_10K_POTENTIOMETER";"BOURNS_PTV09";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103-ND";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103  ";"";
"U$6";"BOURNS_10K_POTENTIOMETER";"BOURNS_10K_POTENTIOMETER";"BOURNS_PTV09";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103-ND";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103  ";"";
"U$7";"BOURNS_10K_POTENTIOMETER";"BOURNS_10K_POTENTIOMETER";"BOURNS_PTV09";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103-ND";"https://www.digikey.com/product-detail/en/bourns-inc/PTV09A-4020F-B103/PTV09A-4020F-B103-ND/3534181";"PTV09A-4020F-B103  ";"";
